game_id,move_index,player,source,move,winner,board_before
1779271077,10,X,human,81,X,....................................................O..............O..............X.............XX............OXXO.............O.................................................................................................
1779271077,11,O,computer,126,X,....................................................O..............O.............XX.............XX............OXXO.............O.................................................................................................
1779271077,12,X,human,80,X,....................................................O..............O.............XX.............XX............OXXO............OO.................................................................................................
1779271077,13,O,computer,141,X,....................................................O..............O............XXX.............XX............OXXO............OO.................................................................................................
1779271077,14,X,human,64,X,....................................................O..............O............XXX.............XX............OXXO............OO.............O...................................................................................
1779271077,15,O,computer,156,X,....................................................O...........X..O............XXX.............XX............OXXO............OO.............O...................................................................................
1779271077,16,X,human,48,X,....................................................O...........X..O............XXX.............XX............OXXO............OO.............O..............O....................................................................
1779271136,0,X,human,96,X,.................................................................................................................................................................................................................................
1779271136,1,O,computer,111,X,................................................................................................X................................................................................................................................
1779271136,2,X,human,82,X,................................................................................................X..............O.................................................................................................................
1779271136,3,O,computer,113,X,..................................................................................X.............X..............O.................................................................................................................
1779271136,4,X,human,68,X,..................................................................................X.............X..............O.O...............................................................................................................
